Date,Country,count,min,max,median,variance
2020-12-28,AE,6.0,0.1,0.1,0.1,0.0
2020-12-28,AR,70.0,0.1,5.5,2.8,34.76
2020-12-28,AT,34.6,0.1,0.1,0.1,0.0
2020-12-28,AU,33.714285714285715,0.9857142857142857,3.5142857142857147,2.0714285714285716,11.322857142857142
2020-12-28,BA,62.333333333333336,0.5666666666666668,14.800000000000002,1.7999999999999998,168.0
2020-12-28,BE,11.8,0.1,0.1,0.1,0.0
2020-12-28,BG,47.0,0.1,0.1,0.1,0.0
2020-12-28,BR,107.0,0.8333333333333334,5.966666666666666,1.9333333333333336,21.593333333333334
2020-12-28,CA,81.16666666666667,0.9333333333333331,4.383333333333334,1.8583333333333334,31.474166666666665
2020-12-28,CL,84.57142857142857,3.9571428571428564,13.985714285714284,8.585714285714285,129.06
2020-12-28,CN,225.5,3.923076923076924,23.99807692307693,10.200000000000005,254.0976923076923
2020-12-28,CO,148.5,5.95,24.65,10.05,177.36
2020-12-28,CY,34.5,2.3,13.899999999999999,4.75,98.82000000000001
2020-12-28,DE,99.8,0.1,0.1,0.1,0.0
2020-12-28,DK,44.0,1.6,3.3,2.5,2.98
2020-12-28,EC,187.0,1.3,12.8,5.2,64.53
2020-12-28,ES,113.29411764705883,0.48235294117647054,2.4941176470588244,1.0294117647058825,9.939411764705882
2020-12-28,FR,79.5,0.1,0.1,0.1,0.0
2020-12-28,GB,66.625,2.9625,6.137500000000001,4.2375,12.85
2020-12-28,GE,24.0,5.0,11.1,8.2,47.1
2020-12-28,HK,162.0,3.4,9.1,6.2,15.45
2020-12-28,HR,49.0,0.1,0.1,0.1,0.0
2020-12-28,HU,102.42857142857143,3.0142857142857147,10.785714285714286,5.3428571428571425,36.721428571428575
2020-12-28,IL,56.333333333333336,1.3666666666666665,6.333333333333333,3.1999999999999997,14.846666666666666
2020-12-28,IN,120.9090909090909,1.9272727272727272,34.14090909090908,8.104545454545454,582.1127272727273
2020-12-28,IR,68.36363636363636,15.818181818181818,70.0909090909091,28.09090909090909,2298.2945454545456
2020-12-28,IT,70.4,0.19000000000000003,1.3599999999999999,0.45999999999999985,4.4799999999999995
2020-12-28,JO,36.0,13.200000000000001,20.0,14.95,76.85000000000001
2020-12-28,JP,288.7241379310345,2.224137931034482,9.617241379310341,4.234482758620691,34.333103448275864
2020-12-28,KR,322.6,3.0699999999999994,19.205000000000002,7.584999999999999,87.29550000000002
2020-12-28,KW,24.0,11.8,18.3,12.9,44.39
2020-12-28,KZ,24.0,7.3,26.8,16.35,669.655
2020-12-28,MN,114.0,0.1,0.3,0.1,0.01
2020-12-28,MO,136.0,3.7,26.8,6.8,113.16
2020-12-28,MX,105.0909090909091,5.881818181818182,31.109090909090913,14.41818181818182,512.3863636363636
2020-12-28,NL,72.0,2.05,6.199999999999999,2.9,6.754999999999999
2020-12-28,NO,70.0,0.1,0.1,0.1,0.0
2020-12-28,NZ,24.0,1.1,1.8,1.3,0.32
2020-12-28,PE,29.0,0.5,16.1,8.6,201.9
2020-12-28,PH,23.0,3.9000000000000004,5.85,4.65,3.07
2020-12-28,PL,60.63636363636363,2.909090909090909,6.645454545454545,4.218181818181819,19.30818181818182
2020-12-28,RE,22.0,0.1,0.1,0.1,0.0
2020-12-28,RS,53.666666666666664,2.3333333333333335,15.200000000000001,5.366666666666666,183.82000000000002
2020-12-28,RU,180.66666666666666,0.39999999999999997,14.600000000000001,3.6,190.61
2020-12-28,SG,82.0,3.0,8.0,5.0,34.58
2020-12-28,SK,92.0,2.5,6.4,3.6500000000000004,8.015
2020-12-28,TH,89.42857142857143,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0
2020-12-28,TR,103.94117647058823,7.0882352941176485,29.823529411764707,13.529411764705882,682.3294117647059
2020-12-28,TW,226.88888888888889,1.7999999999999998,13.644444444444442,4.022222222222222,47.79666666666666
2020-12-28,US,57.46511627906977,1.7441860465116283,7.123255813953487,3.2511627906976748,31.92046511627907
2020-12-28,VN,31.0,0.7000000000000001,8.0,5.333333333333333,145.61666666666667
2020-12-28,ZA,55.0,1.4833333333333334,9.35,3.6500000000000004,44.685
2020-12-29,AE,14.0,0.1,0.1,0.1,0.0
2020-12-29,AR,71.0,0.1,6.6,4.7,61.66
2020-12-29,AT,53.2,0.1,0.1,0.1,0.0
2020-12-29,AU,34.714285714285715,1.0714285714285716,2.5,1.714285714285714,3.402857142857143
2020-12-29,BA,76.66666666666667,0.5666666666666668,21.666666666666668,1.9666666666666666,195.45666666666668
2020-12-29,BE,25.6,0.1,0.1,0.1,0.0
2020-12-29,BG,42.0,0.1,0.1,0.1,0.0
2020-12-29,BR,118.0,0.8666666666666667,5.7,2.2666666666666666,20.02
2020-12-29,CA,80.75,0.8499999999999998,4.408333333333334,1.6416666666666666,29.402500000000003
