Date,Country,count,min,max,median,variance
2020-12-28,AE,24.0,37.5,68.5,48.5,688.225
2020-12-28,AF,24.0,57.0,384.0,102.0,82433.0
2020-12-28,AR,23.0,13.0,104.0,25.0,3960.28
2020-12-28,AT,215.0,15.0,75.0,42.5,1625.2849999999999
2020-12-28,AU,99.63636363636364,3.909090909090909,56.0,17.545454545454547,1342.5036363636364
2020-12-28,BA,109.0,5.0,211.5,72.5,27478.6
2020-12-28,BD,24.0,196.0,317.0,271.0,11134.2
2020-12-28,BE,134.5,9.0,63.166666666666664,20.666666666666668,2045.1499999999996
2020-12-28,BH,24.0,78.0,122.0,93.0,1236.23
2020-12-28,BR,109.66666666666667,7.466666666666666,76.23333333333333,22.933333333333334,2421.2633333333333
2020-12-28,CA,108.33333333333333,6.6,73.93333333333334,22.2,2594.933333333333
2020-12-28,CH,45.0,1.0,4.0,2.0,8.77
2020-12-28,CL,77.5,14.75,64.16666666666667,29.666666666666668,1338.5183333333337
2020-12-28,CN,236.3846153846154,77.59615384615384,230.21153846153845,157.19230769230768,16725.47192307693
2020-12-28,CO,288.0,9.0,118.5,50.5,5536.0
2020-12-28,CR,17.0,5.0,34.0,17.0,533.16
2020-12-28,CW,20.0,5.0,50.0,25.0,1518.84
2020-12-28,CY,24.0,48.0,162.0,73.0,10986.1
2020-12-28,DE,80.71428571428571,5.571428571428571,28.857142857142858,10.714285714285714,362.5385714285714
2020-12-28,DK,24.0,20.0,59.0,44.0,1295.2
2020-12-28,DZ,24.0,34.0,74.0,53.0,1050.36
2020-12-28,EC,142.0,1.0,94.0,26.0,4879.35
2020-12-28,EE,82.0,11.0,48.0,18.0,1106.99
2020-12-28,ES,149.8,12.4,208.6,27.1,51280.352999999996
2020-12-28,ET,24.0,30.0,107.0,46.0,3686.07
2020-12-28,FI,57.4,9.2,34.6,20.6,271.684
2020-12-28,FR,95.95238095238095,4.095238095238095,47.714285714285715,17.0,1386.6966666666665
2020-12-28,GB,117.2,12.75,78.5,33.3,3171.5775000000003
2020-12-28,GE,24.0,125.0,163.0,151.0,1718.84
2020-12-28,GH,24.0,87.0,160.0,104.0,5947.54
2020-12-28,GN,24.0,70.0,154.0,87.0,5939.55
2020-12-28,GR,72.0,5.0,89.0,25.0,2613.77
2020-12-28,HK,353.0,24.0,164.0,69.0,5569.12
2020-12-28,HR,38.0,12.0,51.0,26.0,1035.53
2020-12-28,HU,129.2,23.2,104.6,62.2,5430.505999999999
2020-12-28,ID,48.0,13.0,89.0,38.0,2111.63
2020-12-28,IL,189.71428571428572,18.285714285714285,109.0,56.0,3188.315714285714
2020-12-28,IN,125.08695652173913,83.04347826086956,322.04347826086956,161.43478260869566,36496.86869565217
2020-12-28,IQ,24.0,66.0,163.0,137.0,10935.2
2020-12-28,IR,84.07142857142857,59.214285714285715,160.35714285714286,102.42857142857143,7123.71642857143
2020-12-28,IS,117.0,4.0,122.0,17.0,1946.89
2020-12-28,IT,103.83333333333333,38.083333333333336,58.666666666666664,45.25,705.7125
2020-12-28,JP,415.8125,5.375,95.8125,42.78125,3163.697812500001
2020-12-28,KG,24.0,162.0,274.0,185.0,10827.8
2020-12-28,KR,366.3,38.15,151.3,91.7,5262.930999999999
2020-12-28,KW,24.0,61.0,119.0,80.0,2335.36
2020-12-28,KZ,24.0,96.0,182.0,140.5,6949.8949999999995
2020-12-28,LA,24.0,42.0,220.0,107.0,36228.4
2020-12-28,LK,24.0,17.0,129.0,65.0,10898.8
2020-12-28,ML,24.0,65.0,212.0,93.0,20166.9
2020-12-28,MM,24.0,42.0,160.0,124.0,14736.5
2020-12-28,MN,141.0,9.0,203.0,80.0,14975.1
2020-12-28,MO,143.0,4.0,176.0,80.0,7328.96
2020-12-28,MX,95.8,28.3,260.9,71.7,79047.23400000001
2020-12-28,NL,84.45454545454545,7.7272727272727275,68.36363636363636,31.818181818181817,2044.592727272727
2020-12-28,NO,118.75,1.75,51.0,12.0,1303.5974999999999
2020-12-28,NP,48.0,87.0,380.0,161.0,17767.2
2020-12-28,NZ,61.333333333333336,2.0,45.666666666666664,13.666666666666666,1213.0900000000001
2020-12-28,PE,75.0,19.0,143.0,63.0,4098.11
2020-12-28,PK,24.0,86.0,268.5,151.25,21295.225
2020-12-28,PL,61.5,28.25,85.5,48.625,3336.1374999999994
