Date,Country,count,min,max,median,variance
2020-12-28,AE,120.0,62.0,113.0,100.0,1987.9
2020-12-28,AR,77.0,5.0,35.0,19.0,497.0
2020-12-28,AT,183.2,4.0,40.8,13.4,511.82000000000005
2020-12-28,AU,115.9090909090909,3.090909090909091,33.36363636363637,12.272727272727273,647.4236363636364
2020-12-28,BA,55.5,2.5,85.5,18.0,4250.575
2020-12-28,BE,150.0,3.1666666666666665,22.5,6.666666666666667,160.95666666666665
2020-12-28,BG,144.0,2.0,47.0,9.0,476.64
2020-12-28,BR,176.66666666666666,3.6999999999999997,44.43333333333334,11.133333333333333,455.0933333333333
2020-12-28,CA,126.5,2.0,56.0,6.0,838.9449999999999
2020-12-28,CH,96.0,2.0,56.0,9.0,298.95
2020-12-28,CL,80.54545454545455,11.636363636363637,52.36363636363637,22.818181818181817,1008.4381818181816
2020-12-28,CN,221.82692307692307,36.09615384615385,161.3846153846154,83.92307692307692,7829.154615384615
2020-12-28,CO,184.0,7.0,70.0,25.0,1670.98
2020-12-28,CY,24.0,18.0,67.5,34.0,2262.38
2020-12-28,DE,89.14285714285714,2.7142857142857144,16.357142857142858,7.642857142857143,142.42142857142858
2020-12-28,DK,24.0,8.0,24.0,14.0,207.66
2020-12-28,EC,72.0,1.0,34.0,8.0,764.63
2020-12-28,EE,65.0,2.0,13.0,6.0,37.23
2020-12-28,ES,142.35,3.95,44.75,14.55,771.4445
2020-12-28,FI,57.0,3.8,12.2,6.2,58.24399999999999
2020-12-28,FR,120.43478260869566,1.9565217391304348,23.869565217391305,7.260869565217392,235.40478260869568
2020-12-28,GB,127.05,4.35,28.65,9.95,337.7715
2020-12-28,GE,24.0,63.0,88.0,70.0,658.97
2020-12-28,GR,72.0,2.0,38.0,11.0,472.67
2020-12-28,HK,360.0,8.0,87.0,33.0,1895.14
2020-12-28,HR,84.0,1.0,23.0,10.0,162.21
2020-12-28,HU,101.28571428571429,5.142857142857143,36.857142857142854,16.714285714285715,689.6114285714285
2020-12-28,ID,69.0,13.0,52.0,23.0,1401.56
2020-12-28,IL,101.0,22.0,64.33333333333333,43.0,890.68
2020-12-28,IN,124.28571428571429,50.666666666666664,384.76190476190476,111.38095238095238,73801.00666666667
2020-12-28,IR,57.75,36.083333333333336,109.83333333333333,58.083333333333336,4433.55
2020-12-28,IS,144.0,4.0,24.0,10.0,141.48
2020-12-28,IT,99.9090909090909,12.454545454545455,26.636363636363637,15.727272727272727,274.6354545454546
2020-12-28,JO,78.33333333333333,1.6666666666666667,39.0,17.666666666666668,984.8133333333334
2020-12-28,JP,419.03125,1.46875,40.21875,12.15625,475.2887500000001
2020-12-28,KR,379.0,15.45,75.55,39.35,1243.6305
2020-12-28,KW,24.0,21.0,56.0,34.0,1158.84
2020-12-28,KZ,21.0,22.5,159.5,53.0,48492.1
2020-12-28,MN,264.0,8.0,76.0,29.0,1976.35
2020-12-28,MO,144.0,5.0,159.0,48.0,3429.6
2020-12-28,MX,105.0,16.545454545454547,192.54545454545453,48.63636363636363,47032.05818181818
2020-12-28,NL,138.27272727272728,1.5454545454545454,31.181818181818183,10.818181818181818,276.06636363636375
2020-12-28,NO,117.0,1.0,17.75,3.75,151.89000000000001
2020-12-28,NZ,64.2,2.0,22.6,8.2,208.004
2020-12-28,PE,51.0,8.0,195.0,42.0,14589.7
2020-12-28,PH,41.0,1.0,23.0,5.0,437.05
2020-12-28,PL,69.91666666666667,5.25,39.0,14.666666666666666,579.7274999999998
2020-12-28,RE,119.0,3.0,27.0,12.0,390.49
2020-12-28,RO,79.23529411764706,5.529411764705882,21.235294117647058,10.0,277.12
2020-12-28,RS,72.0,6.0,43.333333333333336,13.666666666666666,2082.673333333333
2020-12-28,RU,159.75,8.75,279.5,39.25,16078.14
2020-12-28,SA,3.8,15.4,24.4,17.4,233.83800000000002
2020-12-28,SE,70.5,2.5,15.5,8.0,133.41
2020-12-28,SG,120.0,18.0,31.0,24.0,165.55
2020-12-28,SK,94.0,3.5,40.0,15.0,563.085
2020-12-28,TH,175.28571428571428,13.571428571428571,104.28571428571429,40.4,2389.942857142857
2020-12-28,TR,117.52941176470588,28.529411764705884,85.70588235294117,49.529411764705884,2711.4223529411765
2020-12-28,TW,249.55555555555554,6.888888888888889,65.33333333333333,29.0,1768.4533333333334
2020-12-28,UA,69.66666666666667,23.666666666666668,186.22222222222223,82.66666666666667,87101.09000000001
2020-12-28,US,73.64285714285714,5.178571428571429,69.53571428571429,14.321428571428571,13940.22642857143
2020-12-28,VN,24.0,19.0,53.5,33.75,1249.1025000000002
2020-12-28,ZA,68.8,9.6,56.5,24.7,1176.973
2020-12-29,AE,94.0,56.0,74.0,63.0,303.7
2020-12-29,AR,67.0,3.0,33.0,17.0,286.02
2020-12-29,AT,181.2,3.4,49.8,13.4,604.338
2020-12-29,AU,113.72727272727273,2.3636363636363638,25.90909090909091,8.818181818181818,234.1527272727273
2020-12-29,BA,90.5,1.0,118.5,15.0,6204.495
2020-12-29,BE,159.16666666666666,8.833333333333334,35.333333333333336,16.5,249.93999999999997
2020-12-29,BG,144.0,3.0,21.0,7.0,100.69
2020-12-29,BR,194.33333333333334,4.566666666666666,37.333333333333336,11.666666666666666,432.2033333333334
2020-12-29,CA,86.33333333333333,1.6666666666666667,21.666666666666668,4.666666666666667,177.4
2020-12-29,CH,96.0,2.0,24.0,5.0,187.84
2020-12-29,CL,80.0,13.818181818181818,55.54545454545455,24.272727272727273,904.9536363636363
2020-12-29,CN,220.42307692307693,17.634615384615383,111.6923076923077,49.5,4940.500576923077
