Date,Country,count,min,max,median,variance
2020-12-28,AE,108.0,15.5,25.0,20.5,72.005
2020-12-28,AF,24.0,-5.0,7.0,-2.0,137.61
2020-12-28,AR,96.0,23.2,31.9,25.8,45.69
2020-12-28,AT,206.4,-2.38,6.04,1.32,55.44199999999999
2020-12-28,AU,126.45454545454545,11.818181818181815,28.44545454545454,20.145454545454548,217.01363636363632
2020-12-28,BA,127.66666666666667,-0.13333333333333333,11.733333333333334,6.5,175.0233333333333
2020-12-28,BD,24.0,14.0,24.0,21.0,118.37
2020-12-28,BE,173.33333333333334,0.45,5.0,3.0500000000000003,14.450000000000001
2020-12-28,BG,80.0,5.0,15.866666666666667,9.266666666666667,84.42333333333333
2020-12-28,BH,24.0,17.0,23.0,20.0,37.5
2020-12-28,BR,310.6666666666667,18.333333333333332,27.333333333333332,22.266666666666666,52.089999999999996
2020-12-28,CA,118.2,-5.753333333333334,4.04,-0.5466666666666669,87.264
2020-12-28,CH,96.0,-2.0,4.2,1.5,17.95
2020-12-28,CL,71.16666666666667,13.5,28.791666666666668,19.099999999999998,262.2866666666667
2020-12-28,CN,225.3653846153846,-0.7288461538461539,10.14615384615385,5.196153846153846,215.35711538461538
2020-12-28,CO,382.0,7.85,22.75,13.4,157.93
2020-12-28,CR,24.0,17.3,22.8,19.1,33.32
2020-12-28,CW,24.0,26.0,30.0,27.0,14.76
2020-12-28,CY,36.0,9.5,19.25,13.5,117.655
2020-12-28,DE,115.70588235294117,1.2352941176470589,5.458823529411765,3.270588235294117,12.366470588235293
2020-12-28,DK,48.0,1.9,4.6,4.2,7.01
2020-12-28,DZ,24.0,3.0,18.0,14.5,260.2
2020-12-28,EC,191.0,8.2,21.3,12.3,75.25
2020-12-28,EE,120.0,-3.0,0.5,-0.5,14.26
2020-12-28,ES,166.04347826086956,5.865217391304347,13.043478260869565,9.213043478260868,43.641304347826086
2020-12-28,ET,24.0,7.0,22.6,10.5,393.83
2020-12-28,FI,72.0,-1.3199999999999998,0.64,-0.42000000000000004,4.15
2020-12-28,FR,122.6,3.2520000000000007,8.52,5.396,21.0552
2020-12-28,GB,143.25,-0.35,3.7300000000000004,1.7600000000000002,12.600499999999997
2020-12-28,GE,24.0,0.0,9.0,2.5,92.59
2020-12-28,GH,24.0,26.0,32.0,28.0,41.74
2020-12-28,GR,96.0,9.05,17.950000000000003,13.3,39.54
2020-12-28,HK,351.0,17.0,26.7,20.5,55.66
2020-12-28,HR,104.0,2.8000000000000003,11.433333333333332,8.233333333333333,96.46333333333332
2020-12-28,HU,105.28571428571429,0.7142857142857142,8.257142857142858,4.1571428571428575,68.33142857142857
2020-12-28,ID,63.0,26.0,36.6,28.5,72.11
2020-12-28,IE,48.0,2.8,5.2,4.1,2.94
2020-12-28,IL,215.57142857142858,2.3999999999999995,19.328571428571426,6.714285714285714,874.9957142857141
2020-12-28,IN,129.43478260869566,15.0,79.32608695652173,21.582608695652176,5479.186086956521
2020-12-28,IQ,22.0,8.0,17.0,10.0,101.82
2020-12-28,IR,90.88235294117646,-3.0647058823529414,9.25294117647059,2.2764705882352945,169.8523529411765
2020-12-28,IS,144.0,-2.0,1.0,-1.0,6.7
2020-12-28,IT,117.58333333333333,1.0583333333333333,7.608333333333333,4.8500000000000005,38.907500000000006
2020-12-28,JO,80.0,5.0,10.0,7.0,20.400000000000002
2020-12-28,JP,425.71875,3.73125,13.312500000000002,7.565625,78.51593749999998
2020-12-28,KG,24.0,-6.0,-4.5,-5.5,2.82
2020-12-28,KR,304.2,-0.06999999999999991,12.235000000000003,4.740000000000001,125.59700000000001
2020-12-28,KW,24.0,11.1,16.0,13.8,30.71
2020-12-28,KZ,24.0,-19.0,-9.5,-15.75,99.44
2020-12-28,LA,14.0,20.0,32.0,28.0,185.45
2020-12-28,LK,24.0,23.0,30.0,26.0,54.13
2020-12-28,LT,48.0,-1.5,3.5,2.0,21.91
2020-12-28,ML,22.0,20.0,34.0,25.5,231.88
2020-12-28,MM,24.0,22.0,33.0,26.0,151.92
2020-12-28,MN,264.0,-32.5,-27.0,-30.0,27.59
2020-12-28,MO,144.0,16.0,22.0,19.0,40.05
2020-12-28,MX,141.0,4.2749999999999995,24.808333333333334,13.891666666666666,443.2816666666667
2020-12-28,MY,66.3076923076923,23.984615384615385,31.815384615384612,27.307692307692307,63.90538461538462
2020-12-28,NL,143.36363636363637,-0.10909090909090903,8.054545454545455,3.9454545454545453,115.84090909090907
2020-12-28,NO,143.5,1.9249999999999998,8.175,3.575,31.5425
2020-12-28,NP,29.0,4.65,18.6,10.9,258.355
2020-12-28,NZ,66.2,6.580000000000001,19.06,12.620000000000001,141.572
2020-12-28,PE,168.0,19.4,25.3,21.1,41.5
2020-12-28,PH,21.333333333333332,23.5,29.933333333333334,26.23333333333333,57.01333333333333
2020-12-28,PK,23.75,6.6,15.825,10.35,95.56
2020-12-28,PL,80.76923076923077,0.3230769230769231,6.653846153846154,4.115384615384615,34.24461538461538
2020-12-28,PT,81.0,8.35,14.95,11.55,32.894999999999996
2020-12-28,RE,120.0,18.8,29.8,25.0,68.92
2020-12-28,RO,84.3529411764706,6.723529411764705,15.576470588235296,12.588235294117647,185.92823529411768
2020-12-28,RS,96.0,4.1000000000000005,12.200000000000001,10.1,122.45333333333333
2020-12-28,RU,156.0,-27.619999999999997,-17.64,-22.419999999999998,99.238
2020-12-28,SA,77.71428571428571,10.285714285714286,23.285714285714285,16.0,174.45000000000002
2020-12-28,SE,72.0,1.35,3.85,2.75,7.605
